video_id,agn_index,video_key,video_path,source_video,round_number,dataset_type,data_root,fight_index,fight_folder,frame_count,width,height,fps,punch_count
АГН-1,1,agn_001,бокс/IMG_7390.mp4,IMG_7390.mp4,,training,бокс,1,бокс,3470,1920,960,,94
АГН-2,2,agn_002,бокс/IMG_7391.mp4,IMG_7391.mp4,,training,бокс,2,бокс,3394,1920,1080,,102
АГН-3,3,agn_003,бокс/IMG_7392.mp4,IMG_7392.mp4,,training,бокс,3,бокс,3596,1920,1080,,58
АГН-4,4,agn_004,бокс/IMG_7393.mp4,IMG_7393.mp4,,training,бокс,4,бокс,7485,1920,1080,,128
АГН-5,5,agn_005,бокс/IMG_7394.mp4,IMG_7394.mp4,,training,бокс,5,бокс,5009,3840,2160,,152
АГН-6,6,agn_006,бокс/IMG_7395.MOV,IMG_7395.MOV,,training,бокс,6,бокс,3644,3840,2160,,101
АГН-7,7,agn_007,бокс/IMG_7396.MOV,IMG_7396.MOV,,training,бокс,7,бокс,4555,3840,2160,,120
АГН-8,8,agn_008,бокс/IMG_7397.MOV,IMG_7397.MOV,,training,бокс,8,бокс,4502,3840,2160,,141
АГН-9,9,agn_009,бокс/IMG_7398.MOV,IMG_7398.MOV,,training,бокс,9,бокс,4150,3840,2160,,167
АГН-10,10,agn_010,бокс/IMG_7399.MOV,IMG_7399.MOV,,training,бокс,10,бокс,4041,3840,2160,,95
АГН-11,11,agn_011,бокс/IMG_7401.MOV,IMG_7401.MOV,,training,бокс,11,бокс,3799,3840,2160,,123
АГН-12,12,agn_012,бокс/IMG_7402.MOV,IMG_7402.MOV,,training,бокс,12,бокс,8686,3840,2160,,238
АГН-13,13,agn_013,бокс/IMG_9745.MOV,IMG_9745.MOV,,training,бокс,13,бокс,5445,3840,2160,,75
АГН-14,14,agn_014,Турнир Бокс/Бой1. Петросян-Зайнуллаев/Раунд1.mp4,Раунд1.mp4,1,tournament_1,Турнир Бокс,1,Бой1. Петросян-Зайнуллаев,8406,1920,1080,,154
АГН-15,15,agn_015,Турнир Бокс/Бой1. Петросян-Зайнуллаев/Раунд2.mp4,Раунд2.mp4,2,tournament_1,Турнир Бокс,1,Бой1. Петросян-Зайнуллаев,7304,1920,1080,,175
АГН-16,16,agn_016,Турнир Бокс/Бой1. Петросян-Зайнуллаев/Раунд3.mp4,Раунд3.mp4,3,tournament_1,Турнир Бокс,1,Бой1. Петросян-Зайнуллаев,8170,1920,1080,,213
